algorithm,k,sse,silhouette,davies_bouldin,calinski_harabasz,time_sec
K-Means,3,25451.491709079517,0.10264117686520356,2.5431644024056257,1500.550800810279,0.05350389999999905
K-Means++,3,25451.491709079517,0.10264117686520356,2.5431644024056257,1500.550800810279,0.10921009999999853
PSO-KMeans,3,26115.893974196486,0.08948880348631477,2.539416050508223,1284.292256784152,0.8093119000000009
K-Means,4,24272.667954715253,0.11270432833158989,2.7156524802431123,1275.5006378453643,0.05960720000000208
K-Means++,4,24159.616863378167,0.08944703121853538,2.3753462414631925,1303.3045065401357,0.13542320000000174
PSO-KMeans,4,24538.17893124536,0.09386046434137135,2.59103333689791,1211.2107502753622,0.9244012999999995
K-Means,5,22888.93713199293,0.10877841461856977,2.4481376208900705,1225.9442090630973,0.06612630000000053
K-Means++,5,22878.863704274732,0.10943721164698927,2.448474007574539,1228.0247940646818,0.15461400000000225
PSO-KMeans,5,23454.130768432788,0.10192505841017835,2.579059376091844,1112.0712617906865,1.0263554
