algorithm,k,sse,silhouette,davies_bouldin,calinski_harabasz,time_sec
K-Means++,2,27436.192780308025,0.11423540749899477,2.7733776783991755,1771.388950223251,0.16211069999999994
K-Means++,3,25451.491709079517,0.10264117686520356,2.5431644024056257,1500.550800810279,0.2064653999999999
K-Means++,4,24159.616863378167,0.08944703121853538,2.3753462414631925,1303.3045065401357,0.23745519999999942
K-Means++,5,22878.863704274732,0.10943721164698927,2.448474007574539,1228.0247940646818,0.23077579999999998
K-Means++,6,22071.33618379041,0.10565419648193633,2.284147102788499,1120.7131340674973,0.18393060000000006
K-Means++,7,21466.047201243033,0.11591716561691617,2.4659370940740772,1025.9688167831341,0.2832562000000003
K-Means++,8,20674.615251373933,0.11270565814545176,2.2765553797953384,989.5338341064843,0.2013423000000003
