n_particles,sse,silhouette,calinski_harabasz,time_sec
10,21977.560383217584,0.07944779866458003,2406.6886753681197,0.8433745702107748
20,22060.009774042195,0.07431230615375405,2360.449791520072,1.5496567090352376
30,22121.4509006966,0.07718257375903533,2326.4526939396474,2.3311448891957602
50,22072.574756077403,0.07636185660247906,2353.2214877305287,3.7865500450134277
