k,sse,silhouette,calinski_harabasz
2,24445.28672195347,0.09755765095009357,3450.00979018873
3,22875.138894672185,0.0821863037462672,2877.373865017752
4,21962.995040625676,0.08008713758599054,2414.9353969676486
5,21195.243874761756,0.08179670464747098,2149.5653356225926
6,20490.24329289341,0.0794504079713112,1986.0671268257906
7,19948.264119500924,0.07359486745520578,1836.3778616764027
8,19459.120568498052,0.07418040494191255,1721.7262127550014
9,19045.885293568488,0.07060877535739171,1620.842683112251
10,18704.529034400493,0.07102669577337774,1528.0773742057959
